id,title,short_description,full_description,instructions,materials,duration_minutes,difficulty,age_groups,category,skills_developed,location,tags,premium,season,creativity
"creativity_001,Охота за цветом,Сортировка предметов по цвету,Ребенок ищет по дому мелкие предметы нужных цветов и раскладывает их по цветным кругам на листе бумаги.,Нарисуйте на листе цветные круги | Попросите ребенка найти в комнате предметы каждого цвета и положить на соответствующий круг,""Лист бумаги с цветными кругами,любые предметы разных цветов"",10,easy,3-5,creativity,""распознавание цветов,сортировка,наблюдательность"",indoor,""цвет,моторика,игра"",false,any,да"
"creativity_002,Архитектор башен,Строительство высокой башни,""Ребенок строит башню из стаканчиков и втулок, исследуя устойчивость конструкции."",Дайте ребенку материалы и предложите построить самую высокую и устойчивую башню | Пробуйте разные варианты,""Пластиковые/бумажные стаканчики,втулки от туалетной бумаги"",15,medium,3-5,creativity,""пространственное мышление,мелкая моторика,креативность"",indoor,""строительство,баланс,башня"",false,any,да"
"creativity_003,Спасательная экспедиция,Поиск игрушек в крупе,Игрушки прячутся в контейнер с крупой. Ребенок находит их ложкой или руками.,Спрячьте мелкие игрушки в крупе | Пусть ребенок находит их с помощью ложки или рук,""Контейнер,крупа,мелкие игрушки,ложка"",10,easy,3-5,creativity,""поиск,терпение,мелкая моторика"",indoor,""раскопки,игра,спасение"",false,any,да"
"creativity_004,Бусы для великана,Нанизывание макарон на шнурок,""Ребенок делает длинные бусы, нанизывая макароны на шнурок."",""Дайте ребенку шнурок и макароны | Покажите, как делать бусы, и предложите сделать как можно длиннее"",""Шнурок с жёстким концом,макароны-трубочки"",10,easy,3-5,creativity,""мелкая моторика,координация,сосредоточенность"",indoor,""бусы,нанизывание,игра"",false,any,да"
"active_games_005,Гараж для машинок,Дороги и парковки из скотча,Скотчем на полу создаются дороги и парковки. Ребенок паркует машинки по правилам.,Наклейте скотч в виде дорог и парковок | Попросите ребенка правильно расставить машинки,""Малярный скотч или изолента,машинки"",15,medium,3-5,active_games,""логика,сюжетная игра,моторика"",indoor,""машинки,дороги,парковка"",false,any,да"
"creativity_006,Кормление монстрика,Игра с коробкой и предметами,""Ребенок кормит монстрика, засовывая в его 'рот' мелкие предметы."",Сделайте 'монстрика' из коробки | Предложите ребенку 'покормить' его — класть предметы в прорезь,""Картонная коробка,ножницы,помпоны,пуговицы и т.д."",10,easy,3-5,creativity,""точность движений,внимание,сюжетность"",indoor,""монстрик,моторика,игра"",false,any,да"
"creativity_007,Театр из носков,Кукольное представление из носков,Носки превращаются в персонажей. Ребенок придумывает сценки и выступает.,""Наденьте носки на руки, нарисуйте или пришейте глаза | Устройте спектакль"",""Старые носки,фломастеры,пуговицы (по желанию)"",20,medium,3-5,creativity,""воображение,речь,сюжетность"",indoor,""театр,носки,история"",false,any,да"
"creativity_008,Город из коробок,Постройка города из коробок,""Ребенок строит город, превращая коробки в дома, магазины, школы."",""Разложите коробки, дайте имена зданиям, заселите их игрушками"",""Картонные коробки,игрушки"",20,medium,3-5,creativity,""творческое мышление,сюжетная игра,воображение"",indoor,""город,коробки,игра"",false,any,да"
"creativity_009,Рисование на подносе,Пальчиковое рисование по манке или соли,""Ребенок рисует пальцем на подносе, покрытом тонким слоем крупы."",Насыпьте тонкий слой соли/манки | Предложите ребенку рисовать пальцем или палочкой,""Поднос,манка или соль"",10,easy,3-5,creativity,""тактильные ощущения,моторика,воображение"",indoor,""рисование,манка,игра"",false,any,да"
"learn_new_010,Сортировка сокровищ,Рассортировать предметы по типу,Ребенок сортирует фасоль и пуговицы по ячейкам контейнера от яиц.,Смешайте фасоль и пуговицы | Предложите ребенку разложить их по ячейкам,""Контейнер от яиц,фасоль,пуговицы"",10,easy,3-5,learn_new,""логика,внимание,моторика"",indoor,""сортировка,игра,внимание"",false,any,да"
